Designator,Mid X,Mid Y,Rotation,Layer
C1,68.375,-118.8875,90,bottom
C2,70.873696,-117.0625,180,bottom
C3,73.248696,-117.7875,-90,bottom
D1,80.091783,-103.499703,90,bottom
D2,87.137613,-122.024703,90,bottom
D3,84.577914,-140.70157,90,bottom
D4,77.426483,-157.80157,90,bottom
D5,57.575,-158.7,-90,bottom
D6,49.490301,-142.276867,-90,bottom
D7,43.301431,-123.025,-90,bottom
D8,52.052634,-103.322662,-90,bottom
D9,47.609309,-94.695945,-55,bottom
D10,44.951504,-91.123406,-55,bottom
D11,48.415691,-90.854055,125,bottom
D12,61.7,-89.675,-80,bottom
D13,56.353418,-85.189071,100,bottom
D14,64.476594,-81.773497,-35,bottom
D15,72.575,-94.1,170,bottom
D16,76.446583,-87.51407,-100,bottom
D17,75.675,-80.625,-10,bottom
D18,83.245946,-99.034309,145,bottom
D19,86.348495,-91.248407,-125,bottom
D20,89.576505,-93.626593,55,bottom
J2,64.790845,-153.029274,-90,bottom
LS1,77.95,-124.125,180,bottom
Q1,76.298696,-113.5125,0,bottom
Q2,72.061196,-114.4875,0,bottom
R1,67.525,-122.1625,90,bottom
R2,66,-122.1625,90,bottom
R3,64.475,-122.1625,90,bottom
R4,62.95,-122.1625,90,bottom
R5,59.325,-120.4125,0,bottom
R6,59.325,-118.8875,0,bottom
R7,59.325,-117.3625,0,bottom
R8,59.325,-115.8375,0,bottom
R9,63.175,-113.9125,-90,bottom
R10,64.7,-113.9125,-90,bottom
R11,66.225,-113.9125,-90,bottom
R12,67.75,-113.9125,-90,bottom
R13,70.873696,-118.6125,180,bottom
R14,75.098696,-116.7625,90,bottom
R15,77.248696,-116.7375,90,bottom
R16,69.298696,-114.7125,90,bottom
U1,65.45,-117.7125,180,bottom
SPEAKER,61.675,-140.425,0,top
